Equation,Answer
58 - 80 = ,-22
46 * 30 = ,1380
69 + 7 = ,76
74 - 64 = ,10
33 - 47 = ,-14
60 * 36 = ,2160
56 * 87 = ,4872
3 - 98 = ,-95
35 * 89 = ,3115
1160 / 29 = ,40
11 + 98 = ,109
75 - 51 = ,24
90 * 79 = ,7110
87 - 66 = ,21
87 + 71 = ,158
2320 / 40 = ,58
95 + 3 = ,98
68 * 69 = ,4692
48 * 97 = ,4656
80 * 74 = ,5920
136 / 34 = ,4
66 + 2 = ,68
43 * 76 = ,3268
1296 / 72 = ,18
64 * 65 = ,4160
98 + 80 = ,178
3538 / 61 = ,58
32 + 100 = ,132
60 * 94 = ,5640
870 / 30 = ,29
58 * 67 = ,3886
74 * 84 = ,6216
20 * 15 = ,300
1804 / 44 = ,41
54 - 73 = ,-19
12 + 53 = ,65
33 - 29 = ,4
96 - 75 = ,21
84 * 41 = ,3444
75 - 55 = ,20
94 * 58 = ,5452
37 + 92 = ,129
32 - 90 = ,-58
13 - 40 = ,-27
63 + 43 = ,106
21 * 90 = ,1890
77 - 7 = ,70
1 * 50 = ,50
58 - 34 = ,24
76 * 5 = ,380
58 - 38 = ,20
31 * 28 = ,868
7 * 48 = ,336
47 - 22 = ,25
696 / 8 = ,87
52 + 53 = ,105
1615 / 85 = ,19
37 + 49 = ,86
63 * 11 = ,693
1932 / 28 = ,69
408 / 68 = ,6
224 / 56 = ,4
30 * 2 = ,60
62 * 99 = ,6138
4484 / 76 = ,59
682 / 22 = ,31
1848 / 84 = ,22
22 * 1 = ,22
93 - 49 = ,44
32 - 31 = ,1
4606 / 49 = ,94
83 - 43 = ,40
81 - 70 = ,11
17 * 34 = ,578
99 * 47 = ,4653
33 + 26 = ,59
228 / 12 = ,19
747 / 9 = ,83
95 + 70 = ,165
7 + 10 = ,17
1904 / 56 = ,34
58 * 1 = ,58
57 + 74 = ,131
26 + 23 = ,49
80 - 53 = ,27
6 * 53 = ,318
24 * 54 = ,1296
91 - 70 = ,21
52 - 27 = ,25
23 * 92 = ,2116
4218 / 57 = ,74
380 / 5 = ,76
10 + 100 = ,110
77 * 41 = ,3157
476 / 34 = ,14
38 - 38 = ,0
85 + 98 = ,183
42 + 37 = ,79
99 - 4 = ,95
2318 / 61 = ,38
92 + 10 = ,102
91 - 71 = ,20
4 - 88 = ,-84
1 - 82 = ,-81
85 - 73 = ,12
833 / 49 = ,17
46 - 97 = ,-51
88 + 37 = ,125
86 * 38 = ,3268
78 * 1 = ,78
1474 / 67 = ,22
27 + 45 = ,72
3655 / 43 = ,85
48 - 81 = ,-33
98 - 43 = ,55
10 * 4 = ,40
12 * 68 = ,816
6 + 40 = ,46
1 - 17 = ,-16
72 - 92 = ,-20
68 - 28 = ,40
20 * 60 = ,1200
1 - 32 = ,-31
28 * 66 = ,1848
930 / 10 = ,93
50 + 74 = ,124
66 * 54 = ,3564
31 + 33 = ,64
29 + 19 = ,48
3763 / 71 = ,53
47 * 11 = ,517
60 + 75 = ,135
59 - 41 = ,18
86 - 62 = ,24
93 + 34 = ,127
17 - 9 = ,8
31 + 62 = ,93
450 / 9 = ,50
61 + 29 = ,90
78 + 25 = ,103
41 / 41 = ,1
962 / 37 = ,26
72 + 30 = ,102
51 - 12 = ,39
55 + 71 = ,126
8 * 42 = ,336
89 + 69 = ,158
2784 / 48 = ,58
77 - 44 = ,33
55 - 38 = ,17
69 + 60 = ,129
63 + 63 = ,126
39 * 8 = ,312
83 * 23 = ,1909
3760 / 94 = ,40
2650 / 53 = ,50
58 * 6 = ,348
741 / 39 = ,19
1066 / 13 = ,82
5488 / 56 = ,98
32 + 97 = ,129
71 + 55 = ,126
25 - 80 = ,-55
24 * 12 = ,288
3000 / 100 = ,30
29 - 11 = ,18
38 * 44 = ,1672
71 - 71 = ,0
484 / 44 = ,11
11 + 15 = ,26
711 / 79 = ,9
7326 / 74 = ,99
21 + 72 = ,93
98 + 73 = ,171
93 - 23 = ,70
57 - 95 = ,-38
2759 / 31 = ,89
53 * 83 = ,4399
95 - 62 = ,33
97 * 70 = ,6790
61 * 43 = ,2623
38 - 21 = ,17
43 + 23 = ,66
81 + 16 = ,97
720 / 9 = ,80
43 + 50 = ,93
38 - 24 = ,14
76 * 18 = ,1368
15 - 24 = ,-9
20 + 35 = ,55
8 + 83 = ,91
27 * 77 = ,2079
55 - 61 = ,-6
690 / 23 = ,30
41 * 7 = ,287
83 * 33 = ,2739
51 - 100 = ,-49
918 / 34 = ,27
54 + 58 = ,112
74 + 91 = ,165
1980 / 55 = ,36
9310 / 98 = ,95
2480 / 31 = ,80
81 - 33 = ,48
35 - 96 = ,-61
42 + 26 = ,68
14 + 32 = ,46
62 * 64 = ,3968
6 + 78 = ,84
13 - 30 = ,-17
2356 / 31 = ,76
61 * 34 = ,2074
304 / 16 = ,19
3476 / 79 = ,44
74 + 34 = ,108
13 + 75 = ,88
82 + 21 = ,103
79 + 13 = ,92
81 - 88 = ,-7
720 / 30 = ,24
30 + 59 = ,89
74 + 28 = ,102
41 + 30 = ,71
45 + 83 = ,128
85 - 45 = ,40
9 * 70 = ,630
53 + 40 = ,93
1311 / 57 = ,23
37 * 91 = ,3367
88 + 71 = ,159
5893 / 71 = ,83
82 * 49 = ,4018
84 + 3 = ,87
41 + 86 = ,127
378 / 14 = ,27
35 - 89 = ,-54
21 + 20 = ,41
696 / 87 = ,8
9 + 52 = ,61
92 * 33 = ,3036
18 * 25 = ,450
11 - 57 = ,-46
6958 / 71 = ,98
100 - 4 = ,96
288 / 4 = ,72
47 * 80 = ,3760
17 + 60 = ,77
35 * 20 = ,700
51 - 79 = ,-28
80 + 20 = ,100
63 * 76 = ,4788
30 + 76 = ,106
77 + 50 = ,127
1820 / 20 = ,91
3965 / 61 = ,65
2600 / 40 = ,65
5084 / 82 = ,62
80 - 63 = ,17
28 - 39 = ,-11
45 - 98 = ,-53
1400 / 50 = ,28
396 / 36 = ,11
30 - 26 = ,4
3772 / 46 = ,82
80 + 40 = ,120
67 - 24 = ,43
95 * 24 = ,2280
21 - 85 = ,-64
54 + 32 = ,86
15 - 19 = ,-4
49 + 39 = ,88
27 + 15 = ,42
67 - 35 = ,32
7300 / 73 = ,100
61 + 20 = ,81
2375 / 25 = ,95
8448 / 88 = ,96
1343 / 79 = ,17
21 * 54 = ,1134
672 / 16 = ,42
15 + 83 = ,98
99 * 48 = ,4752
4300 / 50 = ,86
46 * 69 = ,3174
19 + 98 = ,117
28 * 89 = ,2492
88 + 10 = ,98
37 * 57 = ,2109
23 - 59 = ,-36
65 * 86 = ,5590
5476 / 74 = ,74
30 - 83 = ,-53
41 - 61 = ,-20
62 - 11 = ,51
621 / 23 = ,27
2106 / 27 = ,78
19 + 60 = ,79
53 + 17 = ,70
38 * 25 = ,950
50 * 13 = ,650
4779 / 81 = ,59
100 - 44 = ,56
35 + 38 = ,73
49 * 60 = ,2940
2 + 52 = ,54
3276 / 91 = ,36
28 + 73 = ,101
37 - 14 = ,23
630 / 90 = ,7
91 * 58 = ,5278
96 - 50 = ,46
81 + 21 = ,102
3136 / 32 = ,98
2967 / 43 = ,69
45 * 64 = ,2880
15 + 86 = ,101
35 + 100 = ,135
27 + 66 = ,93
9 - 9 = ,0
54 + 52 = ,106
84 * 88 = ,7392
84 - 55 = ,29
950 / 50 = ,19
21 - 3 = ,18
4 * 99 = ,396
1248 / 13 = ,96
8 * 97 = ,776
34 - 72 = ,-38
46 + 86 = ,132
91 * 93 = ,8463
54 + 34 = ,88
1273 / 19 = ,67
4365 / 97 = ,45
42 * 89 = ,3738
49 - 99 = ,-50
27 * 62 = ,1674
54 - 91 = ,-37
2380 / 34 = ,70
5952 / 62 = ,96
441 / 49 = ,9
80 * 47 = ,3760
24 + 73 = ,97
5310 / 59 = ,90
100 * 75 = ,7500
67 + 30 = ,97
87 - 2 = ,85
5 - 52 = ,-47
12 - 10 = ,2
3 * 53 = ,159
79 * 34 = ,2686
3358 / 73 = ,46
58 + 99 = ,157
9 - 73 = ,-64
30 - 13 = ,17
54 + 43 = ,97
84 - 31 = ,53
84 * 10 = ,840
50 * 51 = ,2550
16 * 97 = ,1552
93 - 90 = ,3
45 + 85 = ,130
2900 / 100 = ,29
17 * 87 = ,1479
23 - 11 = ,12
21 * 59 = ,1239
1485 / 27 = ,55
870 / 29 = ,30
63 + 3 = ,66
3 * 93 = ,279
213 / 71 = ,3
6 + 29 = ,35
76 * 1 = ,76
62 + 13 = ,75
38 + 98 = ,136
33 * 14 = ,462
87 * 85 = ,7395
32 - 19 = ,13
87 + 77 = ,164
49 * 86 = ,4214
6 * 56 = ,336
17 * 80 = ,1360
20 - 32 = ,-12
6 + 53 = ,59
2492 / 89 = ,28
3162 / 34 = ,93
4988 / 86 = ,58
89 * 96 = ,8544
225 / 9 = ,25
3612 / 43 = ,84
27 - 95 = ,-68
61 + 1 = ,62
8 - 75 = ,-67
96 * 83 = ,7968
4361 / 89 = ,49
5913 / 81 = ,73
65 - 1 = ,64
142 / 2 = ,71
46 - 19 = ,27
2322 / 27 = ,86
67 + 76 = ,143
28 * 26 = ,728
48 - 13 = ,35
56 + 80 = ,136
688 / 16 = ,43
9215 / 97 = ,95
12 - 58 = ,-46
176 / 16 = ,11
14 + 82 = ,96
96 - 49 = ,47
1482 / 19 = ,78
88 + 94 = ,182
68 - 48 = ,20
1633 / 71 = ,23
86 * 43 = ,3698
81 * 43 = ,3483
91 - 2 = ,89
6 + 53 = ,59
6 - 87 = ,-81
75 * 55 = ,4125
75 + 39 = ,114
93 + 34 = ,127
65 * 34 = ,2210
1440 / 15 = ,96
89 + 4 = ,93
1235 / 65 = ,19
68 - 73 = ,-5
91 - 99 = ,-8
63 * 17 = ,1071
52 - 35 = ,17
91 + 75 = ,166
41 + 83 = ,124
2 + 14 = ,16
41 + 70 = ,111
252 / 21 = ,12
4 * 84 = ,336
24 - 50 = ,-26
31 - 67 = ,-36
19 + 53 = ,72
51 * 73 = ,3723
95 - 32 = ,63
69 + 2 = ,71
44 + 35 = ,79
1425 / 75 = ,19
71 - 26 = ,45
44 + 75 = ,119
98 * 93 = ,9114
2808 / 54 = ,52
9 - 60 = ,-51
25 - 81 = ,-56
58 + 81 = ,139
348 / 4 = ,87
72 - 59 = ,13
483 / 23 = ,21
3520 / 80 = ,44
66 - 46 = ,20
90 - 54 = ,36
2412 / 67 = ,36
8 + 72 = ,80
68 - 59 = ,9
11 * 30 = ,330
69 + 24 = ,93
36 + 21 = ,57
89 / 89 = ,1
62 - 96 = ,-34
100 - 19 = ,81
56 * 76 = ,4256
87 - 68 = ,19
30 - 6 = ,24
65 + 75 = ,140
72 - 44 = ,28
85 + 88 = ,173
40 / 2 = ,20
957 / 11 = ,87
26 + 89 = ,115
225 / 15 = ,15
31 * 13 = ,403
70 + 15 = ,85
10 * 28 = ,280
1258 / 37 = ,34
4 - 52 = ,-48
96 * 53 = ,5088
152 / 2 = ,76
88 - 75 = ,13
18 / 1 = ,18
26 * 58 = ,1508
59 + 99 = ,158
27 + 73 = ,100
18 * 43 = ,774
16 * 9 = ,144
24 * 53 = ,1272
40 + 34 = ,74
87 + 37 = ,124
22 - 54 = ,-32
44 + 40 = ,84
21 - 8 = ,13
65 + 67 = ,132
23 * 68 = ,1564
5152 / 92 = ,56
56 - 58 = ,-2
74 + 76 = ,150
38 * 100 = ,3800
60 * 87 = ,5220
1 - 66 = ,-65
74 * 59 = ,4366
8 + 23 = ,31
95 - 8 = ,87
82 * 46 = ,3772
39 - 2 = ,37
64 + 31 = ,95
14 - 71 = ,-57
90 * 84 = ,7560
7544 / 82 = ,92
68 * 44 = ,2992
58 + 43 = ,101
89 - 12 = ,77
31 * 1 = ,31
216 / 12 = ,18
74 * 3 = ,222
17 * 67 = ,1139
78 + 55 = ,133
2485 / 35 = ,71
7 - 38 = ,-31
1995 / 95 = ,21
36 - 46 = ,-10
102 / 34 = ,3
42 + 46 = ,88
11 + 26 = ,37
68 * 70 = ,4760
26 - 69 = ,-43
15 + 10 = ,25
98 - 52 = ,46
89 + 35 = ,124
54 * 49 = ,2646
7 + 75 = ,82
43 - 46 = ,-3
71 + 77 = ,148
48 - 15 = ,33
86 + 69 = ,155
92 - 11 = ,81
99 * 45 = ,4455
1476 / 82 = ,18
32 * 26 = ,832
3200 / 80 = ,40
4 + 55 = ,59
20 + 14 = ,34
88 * 58 = ,5104
91 - 21 = ,70
29 - 9 = ,20
783 / 27 = ,29
23 - 14 = ,9
3634 / 79 = ,46
2162 / 94 = ,23
92 * 37 = ,3404
4717 / 89 = ,53
98 - 43 = ,55
4697 / 61 = ,77
5152 / 92 = ,56
39 + 31 = ,70
3840 / 60 = ,64
64 - 29 = ,35
1176 / 98 = ,12
46 * 60 = ,2760
2193 / 43 = ,51
5 - 59 = ,-54
4802 / 98 = ,49
13 + 83 = ,96
94 - 52 = ,42
45 + 1 = ,46
68 + 52 = ,120
89 - 18 = ,71
57 * 97 = ,5529
12 - 86 = ,-74
4005 / 89 = ,45
9506 / 97 = ,98
6 - 75 = ,-69
90 + 55 = ,145
52 - 89 = ,-37
93 - 79 = ,14
57 / 3 = ,19
5141 / 53 = ,97
62 + 81 = ,143
22 + 20 = ,42
79 - 47 = ,32
69 * 99 = ,6831
84 * 13 = ,1092
94 - 53 = ,41
75 + 97 = ,172
64 + 44 = ,108
47 + 72 = ,119
1022 / 73 = ,14
2622 / 38 = ,69
2700 / 75 = ,36
86 * 94 = ,8084
45 + 70 = ,115
45 + 94 = ,139
11 - 12 = ,-1
41 - 71 = ,-30
34 + 4 = ,38
3570 / 70 = ,51
30 + 55 = ,85
69 - 64 = ,5
60 - 48 = ,12
900 / 60 = ,15
38 * 20 = ,760
71 + 12 = ,83
960 / 32 = ,30
781 / 11 = ,71
53 * 15 = ,795
14 - 54 = ,-40
18 + 18 = ,36
5 * 25 = ,125
11 * 78 = ,858
90 - 30 = ,60
8835 / 95 = ,93
6 - 26 = ,-20
49 * 24 = ,1176
100 + 52 = ,152
23 + 83 = ,106
3672 / 68 = ,54
17 - 20 = ,-3
67 + 20 = ,87
67 * 22 = ,1474
50 * 80 = ,4000
30 + 80 = ,110
55 * 43 = ,2365
8 - 51 = ,-43
18 * 6 = ,108
22 - 12 = ,10
62 / 1 = ,62
6083 / 77 = ,79
75 - 14 = ,61
25 - 47 = ,-22
23 - 26 = ,-3
2356 / 62 = ,38
54 * 70 = ,3780
2849 / 77 = ,37
324 / 81 = ,4
46 - 91 = ,-45
20 + 58 = ,78
4300 / 50 = ,86
67 * 71 = ,4757
58 * 94 = ,5452
29 + 45 = ,74
28 + 25 = ,53
83 * 17 = ,1411
60 - 22 = ,38
66 - 50 = ,16
36 - 13 = ,23
676 / 26 = ,26
57 + 41 = ,98
98 + 31 = ,129
21 + 41 = ,62
20 * 46 = ,920
2607 / 33 = ,79
682 / 22 = ,31
18 - 6 = ,12
82 - 95 = ,-13
37 * 14 = ,518
27 - 48 = ,-21
45 + 24 = ,69
68 - 90 = ,-22
4420 / 68 = ,65
64 - 15 = ,49
85 + 39 = ,124
41 + 72 = ,113
16 + 30 = ,46
36 - 68 = ,-32
36 * 23 = ,828
100 + 60 = ,160
4 + 18 = ,22
99 - 27 = ,72
253 / 11 = ,23
80 - 56 = ,24
34 * 69 = ,2346
53 - 64 = ,-11
14 - 56 = ,-42
30 - 1 = ,29
51 - 79 = ,-28
578 / 17 = ,34
2414 / 34 = ,71
38 / 38 = ,1
20 - 36 = ,-16
6068 / 82 = ,74
1159 / 61 = ,19
23 - 13 = ,10
30 - 63 = ,-33
1 + 97 = ,98
2709 / 63 = ,43
95 * 65 = ,6175
7 - 62 = ,-55
92 - 86 = ,6
3762 / 38 = ,99
42 * 28 = ,1176
5 - 24 = ,-19
150 / 2 = ,75
71 + 75 = ,146
67 * 38 = ,2546
66 * 5 = ,330
5760 / 80 = ,72
20 * 72 = ,1440
54 * 24 = ,1296
73 * 80 = ,5840
91 * 2 = ,182
10 - 76 = ,-66
49 * 40 = ,1960
3195 / 71 = ,45
20 - 30 = ,-10
79 + 22 = ,101
27 + 10 = ,37
59 - 50 = ,9
86 - 28 = ,58
41 + 55 = ,96
20 - 55 = ,-35
69 - 98 = ,-29
2132 / 26 = ,82
52 + 98 = ,150
57 + 81 = ,138
47 * 32 = ,1504
81 * 52 = ,4212
52 * 15 = ,780
100 - 14 = ,86
50 + 89 = ,139
1681 / 41 = ,41
62 - 29 = ,33
11 + 19 = ,30
42 + 19 = ,61
37 * 58 = ,2146
32 - 86 = ,-54
86 - 56 = ,30
5 * 78 = ,390
55 + 27 = ,82
32 * 84 = ,2688
3608 / 44 = ,82
47 + 88 = ,135
32 * 10 = ,320
3808 / 56 = ,68
1947 / 33 = ,59
64 * 30 = ,1920
46 - 74 = ,-28
144 / 2 = ,72
91 + 96 = ,187
30 + 57 = ,87
32 - 48 = ,-16
85 - 68 = ,17
32 + 57 = ,89
55 - 48 = ,7
1886 / 46 = ,41
16 * 49 = ,784
60 * 76 = ,4560
5643 / 99 = ,57
57 - 6 = ,51
7 + 53 = ,60
66 - 66 = ,0
52 - 93 = ,-41
64 * 26 = ,1664
2597 / 49 = ,53
34 - 84 = ,-50
26 + 63 = ,89
4692 / 69 = ,68
94 + 37 = ,131
13 - 25 = ,-12
76 * 93 = ,7068
3290 / 70 = ,47
26 * 43 = ,1118
61 - 81 = ,-20
15 - 92 = ,-77
1701 / 81 = ,21
7 + 11 = ,18
667 / 29 = ,23
94 - 7 = ,87
96 + 45 = ,141
1701 / 21 = ,81
14 - 92 = ,-78
2340 / 60 = ,39
675 / 25 = ,27
47 * 41 = ,1927
76 + 47 = ,123
2940 / 35 = ,84
5005 / 55 = ,91
100 + 64 = ,164
7052 / 82 = ,86
94 + 22 = ,116
2 + 83 = ,85
3 + 48 = ,51
18 * 77 = ,1386
94 + 25 = ,119
26 * 34 = ,884
73 - 97 = ,-24
1518 / 46 = ,33
23 - 26 = ,-3
97 - 32 = ,65
71 - 11 = ,60
36 * 94 = ,3384
94 - 67 = ,27
158 / 2 = ,79
48 * 15 = ,720
10 / 2 = ,5
19 * 46 = ,874
2960 / 74 = ,40
736 / 23 = ,32
5696 / 64 = ,89
6600 / 88 = ,75
95 + 8 = ,103
70 * 26 = ,1820
62 + 43 = ,105
31 * 69 = ,2139
884 / 17 = ,52
28 - 96 = ,-68
7128 / 81 = ,88
70 * 14 = ,980
63 * 96 = ,6048
63 + 52 = ,115
10 - 97 = ,-87
2046 / 33 = ,62
22 * 23 = ,506
33 + 20 = ,53
44 - 91 = ,-47
44 * 70 = ,3080
24 - 10 = ,14
7 * 73 = ,511
43 - 81 = ,-38
96 + 20 = ,116
6 + 10 = ,16
43 - 96 = ,-53
57 + 4 = ,61
63 + 45 = ,108
89 + 14 = ,103
43 - 96 = ,-53
41 * 100 = ,4100
60 * 65 = ,3900
1682 / 29 = ,58
78 + 37 = ,115
27 * 70 = ,1890
55 + 76 = ,131
54 * 84 = ,4536
8556 / 93 = ,92
74 + 21 = ,95
1455 / 15 = ,97
5 + 87 = ,92
37 * 46 = ,1702
9 + 85 = ,94
86 * 27 = ,2322
64 * 45 = ,2880
74 * 2 = ,148
62 - 57 = ,5
76 - 25 = ,51
78 * 28 = ,2184
19 - 53 = ,-34
75 + 69 = ,144
100 + 69 = ,169
5 - 97 = ,-92
43 - 97 = ,-54
1040 / 26 = ,40
97 - 96 = ,1
5200 / 65 = ,80
3752 / 67 = ,56
3149 / 47 = ,67
36 + 31 = ,67
4324 / 92 = ,47
73 + 3 = ,76
874 / 23 = ,38
304 / 76 = ,4
29 * 17 = ,493
9 + 89 = ,98
2139 / 31 = ,69
61 - 58 = ,3
56 - 85 = ,-29
72 * 92 = ,6624
38 - 79 = ,-41
9 * 84 = ,756
97 + 95 = ,192
2376 / 27 = ,88
97 + 61 = ,158
190 / 95 = ,2
31 * 65 = ,2015
2436 / 28 = ,87
59 * 71 = ,4189
1995 / 57 = ,35
35 - 64 = ,-29
80 * 47 = ,3760
37 - 13 = ,24
7 + 47 = ,54
595 / 17 = ,35
13 + 5 = ,18
97 * 100 = ,9700
60 - 63 = ,-3
2300 / 50 = ,46
29 * 41 = ,1189
34 - 7 = ,27
97 - 75 = ,22
1539 / 19 = ,81
12 - 100 = ,-88
420 / 5 = ,84
35 * 9 = ,315
87 + 28 = ,115
54 * 52 = ,2808
73 + 93 = ,166
715 / 65 = ,11
8 - 56 = ,-48
4814 / 83 = ,58
4956 / 84 = ,59
100 + 53 = ,153
637 / 7 = ,91
2914 / 31 = ,94
59 - 53 = ,6
18 + 57 = ,75
91 * 50 = ,4550
78 + 11 = ,89
30 * 87 = ,2610
100 + 15 = ,115
8624 / 98 = ,88
82 - 76 = ,6
3800 / 76 = ,50
2304 / 96 = ,24
69 + 65 = ,134
56 + 5 = ,61
1593 / 59 = ,27
59 + 79 = ,138
95 + 90 = ,185
80 + 84 = ,164
2623 / 43 = ,61
13 * 73 = ,949
100 - 71 = ,29
62 * 100 = ,6200
26 * 64 = ,1664
8232 / 84 = ,98
32 + 91 = ,123
57 * 61 = ,3477
4960 / 80 = ,62
32 + 41 = ,73
83 - 12 = ,71
71 + 82 = ,153
13 + 20 = ,33
69 * 100 = ,6900
51 - 76 = ,-25
4988 / 86 = ,58
15 * 91 = ,1365
48 + 82 = ,130
93 + 88 = ,181
35 * 85 = ,2975
3154 / 38 = ,83
24 * 62 = ,1488
33 + 4 = ,37
29 + 11 = ,40
80 + 33 = ,113
88 - 38 = ,50
170 / 34 = ,5
23 - 100 = ,-77
3024 / 84 = ,36
19 + 37 = ,56
2204 / 58 = ,38
9 * 99 = ,891
6399 / 81 = ,79
15 + 97 = ,112
4 - 54 = ,-50
1410 / 94 = ,15
43 + 2 = ,45
96 - 6 = ,90
7626 / 82 = ,93
1484 / 28 = ,53
71 + 59 = ,130
30 - 28 = ,2
3174 / 46 = ,69
43 * 18 = ,774
84 - 96 = ,-12
1 * 49 = ,49
3410 / 55 = ,62
49 * 72 = ,3528
68 * 72 = ,4896
17 + 15 = ,32
62 + 18 = ,80
46 - 3 = ,43
25 + 19 = ,44
97 - 29 = ,68
44 * 52 = ,2288
12 * 68 = ,816
97 - 5 = ,92
1 - 85 = ,-84
1 - 93 = ,-92
70 - 2 = ,68
208 / 13 = ,16
13 + 68 = ,81
21 - 20 = ,1
69 + 13 = ,82
96 * 53 = ,5088
54 - 92 = ,-38
80 - 12 = ,68
48 * 13 = ,624
43 - 94 = ,-51
84 + 61 = ,145
25 * 11 = ,275
84 - 79 = ,5
15 * 54 = ,810
51 - 45 = ,6
38 - 3 = ,35
4292 / 74 = ,58
70 * 54 = ,3780
2760 / 60 = ,46
47 * 7 = ,329
65 - 91 = ,-26
41 - 30 = ,11
62 + 15 = ,77
13 * 78 = ,1014
69 * 76 = ,5244
18 * 60 = ,1080
37 - 10 = ,27
55 * 32 = ,1760
49 * 93 = ,4557
2516 / 68 = ,37
36 - 57 = ,-21
2604 / 28 = ,93
34 * 32 = ,1088
2848 / 89 = ,32
65 * 4 = ,260
5 * 86 = ,430
14 + 37 = ,51
728 / 14 = ,52
81 * 42 = ,3402
658 / 94 = ,7
20 * 45 = ,900
66 * 67 = ,4422
4675 / 85 = ,55
99 + 78 = ,177
89 + 92 = ,181
36 * 87 = ,3132
1170 / 15 = ,78
546 / 26 = ,21
518 / 14 = ,37
79 + 40 = ,119
52 * 96 = ,4992
48 - 95 = ,-47
1161 / 27 = ,43
76 + 48 = ,124
34 - 14 = ,20
8 + 96 = ,104
4070 / 74 = ,55
82 - 52 = ,30
92 + 15 = ,107
46 - 34 = ,12
41 - 6 = ,35
95 - 12 = ,83
54 - 76 = ,-22
39 * 15 = ,585
460 / 23 = ,20
65 - 7 = ,58
81 * 40 = ,3240
98 - 24 = ,74
71 - 67 = ,4
3040 / 32 = ,95
100 + 18 = ,118
24 + 27 = ,51
180 / 12 = ,15
5904 / 82 = ,72
27 * 85 = ,2295
86 - 98 = ,-12
72 - 77 = ,-5
15 * 56 = ,840
492 / 41 = ,12
22 - 88 = ,-66
85 * 25 = ,2125
6 + 15 = ,21
35 + 26 = ,61
96 - 16 = ,80
1 + 97 = ,98
58 * 15 = ,870
27 + 84 = ,111
85 - 65 = ,20
870 / 15 = ,58
49 * 61 = ,2989
85 * 74 = ,6290
38 * 9 = ,342
9 * 3 = ,27
100 * 66 = ,6600
56 - 66 = ,-10
7912 / 86 = ,92
71 + 63 = ,134
3150 / 42 = ,75
1683 / 51 = ,33
69 - 75 = ,-6
73 * 81 = ,5913
5848 / 86 = ,68
37 * 75 = ,2775
55 + 90 = ,145
23 * 100 = ,2300
54 - 75 = ,-21
67 * 28 = ,1876
4599 / 63 = ,73
51 + 76 = ,127
64 - 43 = ,21
52 * 66 = ,3432
50 * 97 = ,4850
28 - 14 = ,14
35 * 37 = ,1295
85 - 25 = ,60
20 + 16 = ,36
47 * 20 = ,940
61 - 18 = ,43
61 - 50 = ,11
81 - 53 = ,28
108 / 18 = ,6
1767 / 57 = ,31
600 / 40 = ,15
18 - 16 = ,2
33 * 29 = ,957
6816 / 96 = ,71
91 + 79 = ,170
65 - 82 = ,-17
6020 / 70 = ,86
462 / 42 = ,11
3 - 98 = ,-95
27 - 71 = ,-44
36 + 15 = ,51
2278 / 67 = ,34
42 * 64 = ,2688
40 - 9 = ,31
4032 / 64 = ,63
38 + 48 = ,86
69 * 92 = ,6348
44 * 53 = ,2332
12 + 31 = ,43
280 / 4 = ,70
6840 / 95 = ,72
792 / 36 = ,22
66 * 28 = ,1848
1350 / 27 = ,50
1363 / 47 = ,29
5 - 21 = ,-16
89 + 73 = ,162
99 - 15 = ,84
40 * 35 = ,1400
81 + 20 = ,101
71 * 21 = ,1491
30 - 39 = ,-9
29 + 99 = ,128
6039 / 99 = ,61
38 - 99 = ,-61
73 * 56 = ,4088
75 + 83 = ,158
61 + 70 = ,131
91 + 28 = ,119
69 * 64 = ,4416
58 * 1 = ,58
67 - 41 = ,26
195 / 3 = ,65
2832 / 59 = ,48
92 - 60 = ,32
1560 / 65 = ,24
189 / 9 = ,21
5073 / 89 = ,57
7 + 52 = ,59
40 * 64 = ,2560
11 * 96 = ,1056
1 - 76 = ,-75
88 * 96 = ,8448
99 / 33 = ,3
23 - 8 = ,15
3731 / 41 = ,91
2403 / 89 = ,27
59 * 70 = ,4130
5022 / 54 = ,93
90 - 45 = ,45
74 - 59 = ,15
581 / 7 = ,83
7440 / 93 = ,80
52 * 11 = ,572
38 - 49 = ,-11
94 + 3 = ,97
73 * 82 = ,5986
9118 / 97 = ,94
14 + 63 = ,77
31 + 45 = ,76
33 + 54 = ,87
99 + 18 = ,117
27 - 4 = ,23
40 - 9 = ,31
92 - 67 = ,25
19 / 1 = ,19
4 + 78 = ,82
663 / 51 = ,13
96 - 83 = ,13
84 - 7 = ,77
203 / 7 = ,29
12 / 6 = ,2
2295 / 51 = ,45
2928 / 48 = ,61
34 + 89 = ,123
18 - 12 = ,6
120 / 8 = ,15
51 + 46 = ,97
8 - 2 = ,6
73 + 55 = ,128
40 + 92 = ,132
93 * 79 = ,7347
22 - 31 = ,-9
21 * 93 = ,1953
25 - 5 = ,20
80 / 8 = ,10
62 - 26 = ,36
82 - 56 = ,26
68 - 66 = ,2
18 * 76 = ,1368
97 + 90 = ,187
52 * 57 = ,2964
77 * 42 = ,3234
59 + 9 = ,68
1849 / 43 = ,43
50 * 5 = ,250
82 * 81 = ,6642
667 / 29 = ,23
1938 / 57 = ,34
39 * 12 = ,468
62 - 74 = ,-12
70 * 96 = ,6720
1100 / 55 = ,20
13 + 73 = ,86
40 * 81 = ,3240
21 * 46 = ,966
48 * 7 = ,336
329 / 47 = ,7
8 + 61 = ,69
1710 / 19 = ,90
55 * 37 = ,2035
